Unix Time,Eastern Time,Occupancy
1745448780,2025-04-23 18:53:00,1
1745448840,2025-04-23 18:54:00,1
1745448900,2025-04-23 18:55:00,1
1745448960,2025-04-23 18:56:00,1
1745449020,2025-04-23 18:57:00,1
1745449080,2025-04-23 18:58:00,1
1745449140,2025-04-23 18:59:00,1
1745449200,2025-04-23 19:00:00,1
1745449260,2025-04-23 19:01:00,1
1745449320,2025-04-23 19:02:00,1
1745449380,2025-04-23 19:03:00,1
1745449440,2025-04-23 19:04:00,1
1745449500,2025-04-23 19:05:00,1
1745449560,2025-04-23 19:06:00,1
1745449620,2025-04-23 19:07:00,1
1745449680,2025-04-23 19:08:00,1
1745449740,2025-04-23 19:09:00,1
1745449800,2025-04-23 19:10:00,1
1745449860,2025-04-23 19:11:00,1
1745449920,2025-04-23 19:12:00,1
1745449980,2025-04-23 19:13:00,1
1745450040,2025-04-23 19:14:00,1
1745450100,2025-04-23 19:15:00,1
1745450160,2025-04-23 19:16:00,1
1745450220,2025-04-23 19:17:00,1
1745450280,2025-04-23 19:18:00,1
1745450340,2025-04-23 19:19:00,1
1745450400,2025-04-23 19:20:00,1
1745450460,2025-04-23 19:21:00,1
1745450520,2025-04-23 19:22:00,1
1745450580,2025-04-23 19:23:00,1
1745450640,2025-04-23 19:24:00,1
1745450700,2025-04-23 19:25:00,1
1745450760,2025-04-23 19:26:00,1
1745450820,2025-04-23 19:27:00,1
1745450880,2025-04-23 19:28:00,1
1745450940,2025-04-23 19:29:00,1
